,Country,Year,Density,
44,Bahamas,2021,Population mid-year estimates for males (millions),0.2
44,Bahamas,2021,Population mid-year estimates for females (millions),0.21
44,Bahamas,2021,Sex ratio (males per 100 females),91.6
44,Bahamas,2021,Population aged 0 to 14 years old (percentage),19.6
44,Bahamas,2021,Population aged 60+ years old (percentage),13.3
44,Bahamas,2021,Population density,76.1
44,Bahamas,2021,Surface area (thousand km2),14
44,Bahamas,2022,Population mid-year estimates (millions),0.41
44,Bahamas,2022,Population mid-year estimates for males (millions),0.2
44,Bahamas,2022,Population mid-year estimates for females (millions),0.21
44,Bahamas,2022,Sex ratio (males per 100 females),91.4
44,Bahamas,2022,Population aged 0 to 14 years old (percentage),19.1
44,Bahamas,2022,Population aged 60+ years old (percentage),13.9
44,Bahamas,2022,Population density,76.5
48,Bahrain,2010,Population mid-year estimates (millions),1.21
48,Bahrain,2010,Population mid-year estimates for males (millions),0.75
48,Bahrain,2010,Population mid-year estimates for females (millions),0.46
48,Bahrain,2010,Sex ratio (males per 100 females),164
48,Bahrain,2010,Population aged 0 to 14 years old (percentage),20.5
48,Bahrain,2010,Population aged 60+ years old (percentage),3.5
48,Bahrain,2010,Population density,"1,550.00"
48,Bahrain,2015,Population mid-year estimates (millions),1.36
48,Bahrain,2015,Population mid-year estimates for males (millions),0.84
48,Bahrain,2015,Population mid-year estimates for females (millions),0.52
48,Bahrain,2015,Sex ratio (males per 100 females),161.7
48,Bahrain,2015,Population aged 0 to 14 years old (percentage),20.4
48,Bahrain,2015,Population aged 60+ years old (percentage),5
48,Bahrain,2015,Population density,"1,739.60"
48,Bahrain,2021,Population mid-year estimates (millions),1.46
48,Bahrain,2021,Population mid-year estimates for males (millions),0.91
48,Bahrain,2021,Population mid-year estimates for females (millions),0.55
48,Bahrain,2021,Sex ratio (males per 100 females),163.8
48,Bahrain,2021,Population aged 0 to 14 years old (percentage),20.4
48,Bahrain,2021,Population aged 60+ years old (percentage),6.4
48,Bahrain,2021,Population density,"1,868.80"
48,Bahrain,2021,Surface area (thousand km2),1
48,Bahrain,2022,Population mid-year estimates (millions),1.47
48,Bahrain,2022,Population mid-year estimates for males (millions),0.91
48,Bahrain,2022,Population mid-year estimates for females (millions),0.56
48,Bahrain,2022,Sex ratio (males per 100 females),162.9
48,Bahrain,2022,Population aged 0 to 14 years old (percentage),20.2
48,Bahrain,2022,Population aged 60+ years old (percentage),6.9
48,Bahrain,2022,Population density,"1,880.20"
50,Bangladesh,2010,Population mid-year estimates (millions),148.39
50,Bangladesh,2010,Population mid-year estimates for males (millions),74.21
50,Bangladesh,2010,Population mid-year estimates for females (millions),74.18
50,Bangladesh,2010,Sex ratio (males per 100 females),100
50,Bangladesh,2010,Population aged 0 to 14 years old (percentage),33.4
50,Bangladesh,2010,Population aged 60+ years old (percentage),6.7
50,Bangladesh,2010,Population density,"1,140.00"
50,Bangladesh,2015,Population mid-year estimates (millions),157.83
50,Bangladesh,2015,Population mid-year estimates for males (millions),78.54
50,Bangladesh,2015,Population mid-year estimates for females (millions),79.29
50,Bangladesh,2015,Sex ratio (males per 100 females),99
50,Bangladesh,2015,Population aged 0 to 14 years old (percentage),30.2
50,Bangladesh,2015,Population aged 60+ years old (percentage),7.5
50,Bangladesh,2015,Population density,"1,212.50"
50,Bangladesh,2021,Population mid-year estimates (millions),169.36
50,Bangladesh,2021,Population mid-year estimates for males (millions),84
50,Bangladesh,2021,Population mid-year estimates for females (millions),85.36
50,Bangladesh,2021,Sex ratio (males per 100 females),98.4
50,Bangladesh,2021,Population aged 0 to 14 years old (percentage),26.5
50,Bangladesh,2021,Population aged 60+ years old (percentage),9
50,Bangladesh,2021,Population density,"1,301.00"
50,Bangladesh,2021,Surface area (thousand km2),148
50,Bangladesh,2022,Population mid-year estimates (millions),171.19
50,Bangladesh,2022,Population mid-year estimates for males (millions),84.86
50,Bangladesh,2022,Population mid-year estimates for females (millions),86.33
50,Bangladesh,2022,Sex ratio (males per 100 females),98.3
50,Bangladesh,2022,Population aged 0 to 14 years old (percentage),26
50,Bangladesh,2022,Population aged 60+ years old (percentage),9.3
50,Bangladesh,2022,Population density,"1,315.10"
52,Barbados,2010,Population mid-year estimates (millions),0.27
52,Barbados,2010,Population mid-year estimates for males (millions),0.13
52,Barbados,2010,Population mid-year estimates for females (millions),0.14
52,Barbados,2010,Sex ratio (males per 100 females),91.2
52,Barbados,2010,Population aged 0 to 14 years old (percentage),20.1
52,Barbados,2010,Population aged 60+ years old (percentage),16.6
52,Barbados,2010,Population density,638.9
52,Barbados,2015,Population mid-year estimates (millions),0.28
52,Barbados,2015,Population mid-year estimates for males (millions),0.13
52,Barbados,2015,Population mid-year estimates for females (millions),0.15
52,Barbados,2015,Sex ratio (males per 100 females),91.7
52,Barbados,2015,Population aged 0 to 14 years old (percentage),18.8
52,Barbados,2015,Population aged 60+ years old (percentage),18.7
52,Barbados,2015,Population density,646.7
52,Barbados,2021,Population mid-year estimates (millions),0.28
52,Barbados,2021,Population mid-year estimates for males (millions),0.13
52,Barbados,2021,Population mid-year estimates for females (millions),0.15
52,Barbados,2021,Sex ratio (males per 100 females),92.1
52,Barbados,2021,Population aged 0 to 14 years old (percentage),17.2
52,Barbados,2021,Population aged 60+ years old (percentage),22.4
52,Barbados,2021,Population density,654
52,Barbados,2021,Surface area (thousand km2),0
52,Barbados,2022,Population mid-year estimates (millions),0.28
52,Barbados,2022,Population mid-year estimates for males (millions),0.14
52,Barbados,2022,Population mid-year estimates for females (millions),0.15
52,Barbados,2022,Sex ratio (males per 100 females),92.2
52,Barbados,2022,Population aged 0 to 14 years old (percentage),16.9
52,Barbados,2022,Population aged 60+ years old (percentage),23.1
52,Barbados,2022,Population density,655
112,Belarus,2010,Population mid-year estimates (millions),9.73
112,Belarus,2010,Population mid-year estimates for males (millions),4.51
112,Belarus,2010,Population mid-year estimates for females (millions),5.22
112,Belarus,2010,Sex ratio (males per 100 females),86.3
112,Belarus,2010,Population aged 0 to 14 years old (percentage),14.9
112,Belarus,2010,Population aged 60+ years old (percentage),19.7
112,Belarus,2010,Population density,48
112,Belarus,2015,Population mid-year estimates (millions),9.7
112,Belarus,2015,Population mid-year estimates for males (millions),4.48
112,Belarus,2015,Population mid-year estimates for females (millions),5.22
112,Belarus,2015,Sex ratio (males per 100 females),86
112,Belarus,2015,Population aged 0 to 14 years old (percentage),16.3
112,Belarus,2015,Population aged 60+ years old (percentage),21.4
112,Belarus,2015,Population density,47.8
112,Belarus,2021,Population mid-year estimates (millions),9.58
112,Belarus,2021,Population mid-year estimates for males (millions),4.42
112,Belarus,2021,Population mid-year estimates for females (millions),5.16
112,Belarus,2021,Sex ratio (males per 100 females),85.5
112,Belarus,2021,Population aged 0 to 14 years old (percentage),16.8
112,Belarus,2021,Population aged 60+ years old (percentage),24.2
112,Belarus,2021,Population density,47.2
112,Belarus,2021,Surface area (thousand km2),208
112,Belarus,2022,Population mid-year estimates (millions),9.54
112,Belarus,2022,Population mid-year estimates for males (millions),4.39
112,Belarus,2022,Population mid-year estimates for females (millions),5.14
112,Belarus,2022,Sex ratio (males per 100 females),85.3
112,Belarus,2022,Population aged 0 to 14 years old (percentage),16.8
112,Belarus,2022,Population aged 60+ years old (percentage),24.5
112,Belarus,2022,Population density,47
56,Belgium,2010,Population mid-year estimates (millions),10.88
56,Belgium,2010,Population mid-year estimates for males (millions),5.33
56,Belgium,2010,Population mid-year estimates for females (millions),5.55
56,Belgium,2010,Sex ratio (males per 100 females),96.2
56,Belgium,2010,Population aged 0 to 14 years old (percentage),16.9
56,Belgium,2010,Population aged 60+ years old (percentage),23.1
56,Belgium,2010,Population density,359.3
56,Belgium,2015,Population mid-year estimates (millions),11.25
56,Belgium,2015,Population mid-year estimates for males (millions),5.53
56,Belgium,2015,Population mid-year estimates for females (millions),5.72
56,Belgium,2015,Sex ratio (males per 100 females),96.8
56,Belgium,2015,Population aged 0 to 14 years old (percentage),17
56,Belgium,2015,Population aged 60+ years old (percentage),24.1
56,Belgium,2015,Population density,371.5
56,Belgium,2021,Population mid-year estimates (millions),11.61
56,Belgium,2021,Population mid-year estimates for males (millions),5.73
56,Belgium,2021,Population mid-year estimates for females (millions),5.88
56,Belgium,2021,Sex ratio (males per 100 females),97.6
56,Belgium,2021,Population aged 0 to 14 years old (percentage),16.7
56,Belgium,2021,Population aged 60+ years old (percentage),25.8
56,Belgium,2021,Population density,383.5
56,Belgium,2021,Surface area (thousand km2),31
56,Belgium,2022,Population mid-year estimates (millions),11.66
56,Belgium,2022,Population mid-year estimates for males (millions),5.76
56,Belgium,2022,Population mid-year estimates for females (millions),5.9
56,Belgium,2022,Sex ratio (males per 100 females),97.7
56,Belgium,2022,Population aged 0 to 14 years old (percentage),16.5
56,Belgium,2022,Population aged 60+ years old (percentage),26.2
56,Belgium,2022,Population density,385
84,Belize,2010,Population mid-year estimates (millions),0.32
84,Belize,2010,Population mid-year estimates for males (millions),0.16
84,Belize,2010,Population mid-year estimates for females (millions),0.16
84,Belize,2010,Sex ratio (males per 100 females),100.2
84,Belize,2010,Population aged 0 to 14 years old (percentage),35.5
84,Belize,2010,Population aged 60+ years old (percentage),5.9
84,Belize,2010,Population density,14.1
84,Belize,2015,Population mid-year estimates (millions),0.36
84,Belize,2015,Population mid-year estimates for males (millions),0.18
84,Belize,2015,Population mid-year estimates for females (millions),0.18
84,Belize,2015,Sex ratio (males per 100 females),101.2
84,Belize,2015,Population aged 0 to 14 years old (percentage),31.8
84,Belize,2015,Population aged 60+ years old (percentage),6.6
84,Belize,2015,Population density,15.8
84,Belize,2021,Population mid-year estimates (millions),0.4
84,Belize,2021,Population mid-year estimates for males (millions),0.2
84,Belize,2021,Population mid-year estimates for females (millions),0.2
84,Belize,2021,Sex ratio (males per 100 females),101.2
84,Belize,2021,Population aged 0 to 14 years old (percentage),28.2
84,Belize,2021,Population aged 60+ years old (percentage),7.7
84,Belize,2021,Population density,17.5
84,Belize,2021,Surface area (thousand km2),23
84,Belize,2022,Population mid-year estimates (millions),0.41
84,Belize,2022,Population mid-year estimates for males (millions),0.2
84,Belize,2022,Population mid-year estimates for females (millions),0.2
84,Belize,2022,Sex ratio (males per 100 females),101.1
84,Belize,2022,Population aged 0 to 14 years old (percentage),27.7
84,Belize,2022,Population aged 60+ years old (percentage),8
84,Belize,2022,Population density,17.8
204,Benin,2010,Population mid-year estimates (millions),9.45
204,Benin,2010,Population mid-year estimates for males (millions),4.71
204,Benin,2010,Population mid-year estimates for females (millions),4.74
204,Benin,2010,Sex ratio (males per 100 females),99.3
204,Benin,2010,Population aged 0 to 14 years old (percentage),43.7
204,Benin,2010,Population aged 60+ years old (percentage),4.8
204,Benin,2010,Population density,83.8
204,Benin,2015,Population mid-year estimates (millions),10.93
204,Benin,2015,Population mid-year estimates for males (millions),5.46
204,Benin,2015,Population mid-year estimates for females (millions),5.47
204,Benin,2015,Sex ratio (males per 100 females),99.9
204,Benin,2015,Population aged 0 to 14 years old (percentage),43.2
204,Benin,2015,Population aged 60+ years old (percentage),4.8
204,Benin,2015,Population density,97
204,Benin,2021,Population mid-year estimates (millions),13
204,Benin,2021,Population mid-year estimates for males (millions),6.51
204,Benin,2021,Population mid-year estimates for females (millions),6.49
204,Benin,2021,Sex ratio (males per 100 females),100.3
204,Benin,2021,Population aged 0 to 14 years old (percentage),42.6
204,Benin,2021,Population aged 60+ years old (percentage),4.9
204,Benin,2021,Population density,115.3
204,Benin,2021,Surface area (thousand km2),115
204,Benin,2022,Population mid-year estimates (millions),13.35
204,Benin,2022,Population mid-year estimates for males (millions),6.69
204,Benin,2022,Population mid-year estimates for females (millions),6.66
204,Benin,2022,Sex ratio (males per 100 females),100.4
204,Benin,2022,Population aged 0 to 14 years old (percentage),42.4
204,Benin,2022,Population aged 60+ years old (percentage),4.9
204,Benin,2022,Population density,118.4
60,Bermuda,2010,Population mid-year estimates (millions),0.06
60,Bermuda,2010,Population mid-year estimates for males (millions),0.03
60,Bermuda,2010,Population mid-year estimates for females (millions),0.03
60,Bermuda,2010,Sex ratio (males per 100 females),94.7
60,Bermuda,2010,Population aged 0 to 14 years old (percentage),16.2
60,Bermuda,2010,Population aged 60+ years old (percentage),19
60,Bermuda,2010,Population density,"1,174.90"
60,Bermuda,2015,Population mid-year estimates (millions),0.06
60,Bermuda,2015,Population mid-year estimates for males (millions),0.03
60,Bermuda,2015,Population mid-year estimates for females (millions),0.03
60,Bermuda,2015,Sex ratio (males per 100 females),94.7
60,Bermuda,2015,Population aged 0 to 14 years old (percentage),15.1
60,Bermuda,2015,Population aged 60+ years old (percentage),22.6
60,Bermuda,2015,Population density,"1,169.30"
60,Bermuda,2021,Population mid-year estimates (millions),0.06
60,Bermuda,2021,Population mid-year estimates for males (millions),0.03
60,Bermuda,2021,Population mid-year estimates for females (millions),0.03
60,Bermuda,2021,Sex ratio (males per 100 females),93.2
60,Bermuda,2021,Population aged 0 to 14 years old (percentage),14.9
60,Bermuda,2021,Population aged 60+ years old (percentage),27.7
60,Bermuda,2021,Population density,"1,188.60"
60,Bermuda,2021,Surface area (thousand km2),0
60,Bermuda,2022,Population mid-year estimates (millions),0.06
60,Bermuda,2022,Population mid-year estimates for males (millions),0.03
60,Bermuda,2022,Population mid-year estimates for females (millions),0.03
60,Bermuda,2022,Sex ratio (males per 100 females),93
60,Bermuda,2022,Population aged 0 to 14 years old (percentage),14.7
60,Bermuda,2022,Population aged 60+ years old (percentage),28.6
60,Bermuda,2022,Population density,"1,188.60"
64,Bhutan,2010,Population mid-year estimates (millions),0.71
64,Bhutan,2010,Population mid-year estimates for males (millions),0.38
64,Bhutan,2010,Population mid-year estimates for females (millions),0.33
64,Bhutan,2010,Sex ratio (males per 100 females),113.8
64,Bhutan,2010,Population aged 0 to 14 years old (percentage),29.6
64,Bhutan,2010,Population aged 60+ years old (percentage),7.5
64,Bhutan,2010,Population density,18.4
64,Bhutan,2015,Population mid-year estimates (millions),0.74
64,Bhutan,2015,Population mid-year estimates for males (millions),0.4
64,Bhutan,2015,Population mid-year estimates for females (millions),0.35
64,Bhutan,2015,Sex ratio (males per 100 females),113.5
64,Bhutan,2015,Population aged 0 to 14 years old (percentage),27
64,Bhutan,2015,Population aged 60+ years old (percentage),8.3
64,Bhutan,2015,Population density,19.4
64,Bhutan,2021,Population mid-year estimates (millions),0.78
64,Bhutan,2021,Population mid-year estimates for males (millions),0.41
64,Bhutan,2021,Population mid-year estimates for females (millions),0.37
64,Bhutan,2021,Sex ratio (males per 100 females),112.5
64,Bhutan,2021,Population aged 0 to 14 years old (percentage),22.8
64,Bhutan,2021,Population aged 60+ years old (percentage),9.1
64,Bhutan,2021,Population density,20.3
64,Bhutan,2021,Surface area (thousand km2),38
64,Bhutan,2022,Population mid-year estimates (millions),0.78
64,Bhutan,2022,Population mid-year estimates for males (millions),0.41
64,Bhutan,2022,Population mid-year estimates for females (millions),0.37
64,Bhutan,2022,Sex ratio (males per 100 females),112.3
64,Bhutan,2022,Population aged 0 to 14 years old (percentage),22.1
64,Bhutan,2022,Population aged 60+ years old (percentage),9.3
64,Bhutan,2022,Population density,20.4
68,Bolivia (Plurin. State of),2010,Population mid-year estimates (millions),10.22
68,Bolivia (Plurin. State of),2010,Population mid-year estimates for males (millions),5.15
68,Bolivia (Plurin. State of),2010,Population mid-year estimates for females (millions),5.07
68,Bolivia (Plurin. State of),2010,Sex ratio (males per 100 females),101.6
68,Bolivia (Plurin. State of),2010,Population aged 0 to 14 years old (percentage),34.8
68,Bolivia (Plurin. State of),2010,Population aged 60+ years old (percentage),7.2
68,Bolivia (Plurin. State of),2010,Population density,9.4
68,Bolivia (Plurin. State of),2015,Population mid-year estimates (millions),11.09
68,Bolivia (Plurin. State of),2015,Population mid-year estimates for males (millions),5.58
68,Bolivia (Plurin. State of),2015,Population mid-year estimates for females (millions),5.51
68,Bolivia (Plurin. State of),2015,Sex ratio (males per 100 females),101.2
68,Bolivia (Plurin. State of),2015,Population aged 0 to 14 years old (percentage),33.1
68,Bolivia (Plurin. State of),2015,Population aged 60+ years old (percentage),7.3
68,Bolivia (Plurin. State of),2015,Population density,10.2
68,Bolivia (Plurin. State of),2021,Population mid-year estimates (millions),12.08
68,Bolivia (Plurin. State of),2021,Population mid-year estimates for males (millions),6.06
68,Bolivia (Plurin. State of),2021,Population mid-year estimates for females (millions),6.02
68,Bolivia (Plurin. State of),2021,Sex ratio (males per 100 females),100.6
68,Bolivia (Plurin. State of),2021,Population aged 0 to 14 years old (percentage),31.1
68,Bolivia (Plurin. State of),2021,Population aged 60+ years old (percentage),7.6
68,Bolivia (Plurin. State of),2021,Population density,11.2
68,Bolivia (Plurin. State of),2021,Surface area (thousand km2),"1,099"
68,Bolivia (Plurin. State of),2022,Population mid-year estimates (millions),12.22
68,Bolivia (Plurin. State of),2022,Population mid-year estimates for males (millions),6.13
68,Bolivia (Plurin. State of),2022,Population mid-year estimates for females (millions),6.1
68,Bolivia (Plurin. State of),2022,Sex ratio (males per 100 females),100.5
68,Bolivia (Plurin. State of),2022,Population aged 0 to 14 years old (percentage),30.8
68,Bolivia (Plurin. State of),2022,Population aged 60+ years old (percentage),7.6
68,Bolivia (Plurin. State of),2022,Population density,11.3
535,"Bonaire, St. Eustatius & Saba",2010,Population mid-year estimates (millions),0.02
535,"Bonaire, St. Eustatius & Saba",2010,Population mid-year estimates for males (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2010,Population mid-year estimates for females (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2010,Sex ratio (males per 100 females),113
535,"Bonaire, St. Eustatius & Saba",2010,Population aged 0 to 14 years old (percentage),18.9
535,"Bonaire, St. Eustatius & Saba",2010,Population aged 60+ years old (percentage),13.9
535,"Bonaire, St. Eustatius & Saba",2010,Population density,61.7
535,"Bonaire, St. Eustatius & Saba",2015,Population mid-year estimates (millions),0.02
535,"Bonaire, St. Eustatius & Saba",2015,Population mid-year estimates for males (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2015,Population mid-year estimates for females (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2015,Sex ratio (males per 100 females),110.1
535,"Bonaire, St. Eustatius & Saba",2015,Population aged 0 to 14 years old (percentage),17.5
535,"Bonaire, St. Eustatius & Saba",2015,Population aged 60+ years old (percentage),16.4
535,"Bonaire, St. Eustatius & Saba",2015,Population density,70.6
535,"Bonaire, St. Eustatius & Saba",2022,Population mid-year estimates (millions),0.03
535,"Bonaire, St. Eustatius & Saba",2022,Population mid-year estimates for males (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2022,Population mid-year estimates for females (millions),0.01
535,"Bonaire, St. Eustatius & Saba",2022,Sex ratio (males per 100 females),104.8
535,"Bonaire, St. Eustatius & Saba",2022,Population aged 0 to 14 years old (percentage),16.8
535,"Bonaire, St. Eustatius & Saba",2022,Population aged 60+ years old (percentage),21.1
535,"Bonaire, St. Eustatius & Saba",2022,Population density,82.4
70,Bosnia and Herzegovina,2010,Population mid-year estimates (millions),3.81
70,Bosnia and Herzegovina,2010,Population mid-year estimates for males (millions),1.86
70,Bosnia and Herzegovina,2010,Population mid-year estimates for females (millions),1.95
70,Bosnia and Herzegovina,2010,Sex ratio (males per 100 females),95.3
70,Bosnia and Herzegovina,2010,Population aged 0 to 14 years old (percentage),15.9
70,Bosnia and Herzegovina,2010,Population aged 60+ years old (percentage),19.5
70,Bosnia and Herzegovina,2010,Population density,74.4
70,Bosnia and Herzegovina,2015,Population mid-year estimates (millions),3.52
70,Bosnia and Herzegovina,2015,Population mid-year estimates for males (millions),1.72
70,Bosnia and Herzegovina,2015,Population mid-year estimates for females (millions),1.8
70,Bosnia and Herzegovina,2015,Sex ratio (males per 100 females),95.9
70,Bosnia and Herzegovina,2015,Population aged 0 to 14 years old (percentage),15.1
70,Bosnia and Herzegovina,2015,Population aged 60+ years old (percentage),21.9
70,Bosnia and Herzegovina,2015,Population density,68.8
70,Bosnia and Herzegovina,2021,Population mid-year estimates (millions),3.27
70,Bosnia and Herzegovina,2021,Population mid-year estimates for males (millions),1.61
70,Bosnia and Herzegovina,2021,Population mid-year estimates for females (millions),1.66
70,Bosnia and Herzegovina,2021,Sex ratio (males per 100 females),97
70,Bosnia and Herzegovina,2021,Population aged 0 to 14 years old (percentage),14.9
70,Bosnia and Herzegovina,2021,Population aged 60+ years old (percentage),25.4
70,Bosnia and Herzegovina,2021,Population density,63.9
70,Bosnia and Herzegovina,2021,Surface area (thousand km2),51
70,Bosnia and Herzegovina,2022,Population mid-year estimates (millions),3.23
70,Bosnia and Herzegovina,2022,Population mid-year estimates for males (millions),1.59
70,Bosnia and Herzegovina,2022,Population mid-year estimates for females (millions),1.64
70,Bosnia and Herzegovina,2022,Sex ratio (males per 100 females),97
70,Bosnia and Herzegovina,2022,Population aged 0 to 14 years old (percentage),14.9
70,Bosnia and Herzegovina,2022,Population aged 60+ years old (percentage),25.8
70,Bosnia and Herzegovina,2022,Population density,63.2
72,Botswana,2010,Population mid-year estimates (millions),2.09
72,Botswana,2010,Population mid-year estimates for males (millions),1.03
72,Botswana,2010,Population mid-year estimates for females (millions),1.06
72,Botswana,2010,Sex ratio (males per 100 females),96.6
72,Botswana,2010,Population aged 0 to 14 years old (percentage),34.8
72,Botswana,2010,Population aged 60+ years old (percentage),4.8
72,Botswana,2010,Population density,3.7
72,Botswana,2015,Population mid-year estimates (millions),2.31
72,Botswana,2015,Population mid-year estimates for males (millions),1.13
72,Botswana,2015,Population mid-year estimates for females (millions),1.17
72,Botswana,2015,Sex ratio (males per 100 females),97
72,Botswana,2015,Population aged 0 to 14 years old (percentage),34.2
72,Botswana,2015,Population aged 60+ years old (percentage),5.1
72,Botswana,2015,Population density,4.1
72,Botswana,2021,Population mid-year estimates (millions),2.59
72,Botswana,2021,Population mid-year estimates for males (millions),1.28
72,Botswana,2021,Population mid-year estimates for females (millions),1.31
72,Botswana,2021,Sex ratio (males per 100 females),97.5
72,Botswana,2021,Population aged 0 to 14 years old (percentage),32.9
72,Botswana,2021,Population aged 60+ years old (percentage),5.8
72,Botswana,2021,Population density,4.6
72,Botswana,2021,Surface area (thousand km2),582
72,Botswana,2022,Population mid-year estimates (millions),2.63
72,Botswana,2022,Population mid-year estimates for males (millions),1.3
72,Botswana,2022,Population mid-year estimates for females (millions),1.33
72,Botswana,2022,Sex ratio (males per 100 females),97.5
72,Botswana,2022,Population aged 0 to 14 years old (percentage),32.6
72,Botswana,2022,Population aged 60+ years old (percentage),5.9
72,Botswana,2022,Population density,4.6
76,Brazil,2010,Population mid-year estimates (millions),196.35
76,Brazil,2010,Population mid-year estimates for males (millions),96.81
76,Brazil,2010,Population mid-year estimates for females (millions),99.55
76,Brazil,2010,Sex ratio (males per 100 females),97.2
76,Brazil,2010,Population aged 0 to 14 years old (percentage),24.8
76,Brazil,2010,Population aged 60+ years old (percentage),10.3
76,Brazil,2010,Population density,23.5
76,Brazil,2015,Population mid-year estimates (millions),205.19
76,Brazil,2015,Population mid-year estimates for males (millions),101.01
76,Brazil,2015,Population mid-year estimates for females (millions),104.18
76,Brazil,2015,Sex ratio (males per 100 females),97
76,Brazil,2015,Population aged 0 to 14 years old (percentage),22.5
76,Brazil,2015,Population aged 60+ years old (percentage),11.9
76,Brazil,2015,Population density,24.6
76,Brazil,2021,Population mid-year estimates (millions),214.33
76,Brazil,2021,Population mid-year estimates for males (millions),105.29
76,Brazil,2021,Population mid-year estimates for females (millions),109.03
76,Brazil,2021,Sex ratio (males per 100 females),96.6
76,Brazil,2021,Population aged 0 to 14 years old (percentage),20.5
76,Brazil,2021,Population aged 60+ years old (percentage),14.2
76,Brazil,2021,Population density,25.6
76,Brazil,2021,Surface area (thousand km2),"8,516"
76,Brazil,2022,Population mid-year estimates (millions),215.31
76,Brazil,2022,Population mid-year estimates for males (millions),105.73
76,Brazil,2022,Population mid-year estimates for females (millions),109.58
76,Brazil,2022,Sex ratio (males per 100 females),96.5
76,Brazil,2022,Population aged 0 to 14 years old (percentage),20.3
76,Brazil,2022,Population aged 60+ years old (percentage),14.6
76,Brazil,2022,Population density,25.8
92,British Virgin Islands,2010,Population mid-year estimates (millions),0.03
92,British Virgin Islands,2010,Population mid-year estimates for males (millions),0.01
92,British Virgin Islands,2010,Population mid-year estimates for females (millions),0.01
92,British Virgin Islands,2010,Sex ratio (males per 100 females),96.8
92,British Virgin Islands,2010,Population aged 0 to 14 years old (percentage),22.1
92,British Virgin Islands,2010,Population aged 60+ years old (percentage),9.5
92,British Virgin Islands,2010,Population density,178.9
92,British Virgin Islands,2015,Population mid-year estimates (millions),0.03
92,British Virgin Islands,2015,Population mid-year estimates for males (millions),0.01
92,British Virgin Islands,2015,Population mid-year estimates for females (millions),0.02
92,British Virgin Islands,2015,Sex ratio (males per 100 females),95
92,British Virgin Islands,2015,Population aged 0 to 14 years old (percentage),19.1
92,British Virgin Islands,2015,Population aged 60+ years old (percentage),11.6
92,British Virgin Islands,2015,Population density,190.7
92,British Virgin Islands,2021,Population mid-year estimates (millions),0.03
92,British Virgin Islands,2021,Population mid-year estimates for males (millions),0.02
92,British Virgin Islands,2021,Population mid-year estimates for females (millions),0.02
92,British Virgin Islands,2021,Sex ratio (males per 100 females),92.7
92,British Virgin Islands,2021,Population aged 0 to 14 years old (percentage),15.2
92,British Virgin Islands,2021,Population aged 60+ years old (percentage),15.3
92,British Virgin Islands,2021,Population density,202.1
92,British Virgin Islands,2021,Surface area (thousand km2),0
92,British Virgin Islands,2022,Population mid-year estimates (millions),0.03
92,British Virgin Islands,2022,Population mid-year estimates for males (millions),0.02
92,British Virgin Islands,2022,Population mid-year estimates for females (millions),0.02
92,British Virgin Islands,2022,Sex ratio (males per 100 females),92.7
92,British Virgin Islands,2022,Population aged 0 to 14 years old (percentage),14.5
92,British Virgin Islands,2022,Population aged 60+ years old (percentage),16.1
92,British Virgin Islands,2022,Population density,203.3
96,Brunei Darussalam,2010,Population mid-year estimates (millions),0.4
96,Brunei Darussalam,2010,Population mid-year estimates for males (millions),0.21
96,Brunei Darussalam,2010,Population mid-year estimates for females (millions),0.19
96,Brunei Darussalam,2010,Sex ratio (males per 100 females),108.4
96,Brunei Darussalam,2010,Population aged 0 to 14 years old (percentage),26
96,Brunei Darussalam,2010,Population aged 60+ years old (percentage),5.5
96,Brunei Darussalam,2010,Population density,68.7
96,Brunei Darussalam,2015,Population mid-year estimates (millions),0.42
96,Brunei Darussalam,2015,Population mid-year estimates for males (millions),0.22
96,Brunei Darussalam,2015,Population mid-year estimates for females (millions),0.2
96,Brunei Darussalam,2015,Sex ratio (males per 100 females),107.8
96,Brunei Darussalam,2015,Population aged 0 to 14 years old (percentage),24.2
96,Brunei Darussalam,2015,Population aged 60+ years old (percentage),7
96,Brunei Darussalam,2015,Population density,73.1
96,Brunei Darussalam,2021,Population mid-year estimates (millions),0.45
96,Brunei Darussalam,2021,Population mid-year estimates for males (millions),0.23
96,Brunei Darussalam,2021,Population mid-year estimates for females (millions),0.21
96,Brunei Darussalam,2021,Sex ratio (males per 100 females),107.2
96,Brunei Darussalam,2021,Population aged 0 to 14 years old (percentage),22.3
96,Brunei Darussalam,2021,Population aged 60+ years old (percentage),9.9
96,Brunei Darussalam,2021,Population density,77.3
96,Brunei Darussalam,2021,Surface area (thousand km2),6
96,Brunei Darussalam,2022,Population mid-year estimates (millions),0.45
96,Brunei Darussalam,2022,Population mid-year estimates for males (millions),0.23
96,Brunei Darussalam,2022,Population mid-year estimates for females (millions),0.22
96,Brunei Darussalam,2022,Sex ratio (males per 100 females),107.1
96,Brunei Darussalam,2022,Population aged 0 to 14 years old (percentage),22.1
96,Brunei Darussalam,2022,Population aged 60+ years old (percentage),10.4
96,Brunei Darussalam,2022,Population density,77.9
